FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING	RESTING_MgO2/hr	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	FAS	NAS	MgO2/hr_Net	Swim performance	Notes		
LKES172_31.5	Keswick Island	Leading	31.5	0.01829	2022-08-14	2	dell	1	AM	12:37:56	224.705	4.10985445	2022-08-12	2	dell	1	AM	12:37:56	497.931	9.10715799	2.215932	273.226	4.99730354	good			
CSUD006_31.5	Sudbury Reef	Core	31.5	0.03792	2022-08-17	2	dell	1	AM	10:32:31	200.082	7.58710944	2022-08-17	2	dell	1	AM	10:32:31	433.88	16.4527296	2.168510911	233.798	8.86562016	okay			
CSUD008_31.5	Sudbury Reef	Core	31.5	0.05100	2022-08-17	3	asus	2	AM	11:32:03	203.997	10.403847	2022-08-17	3	asus	2	AM	11:32:03	395.889	20.190339	1.940660892	191.892	9.786492	good	had to use slope from AquaResp; cycle_1 data file was missing		
CSUD010_31.5	Sudbury Reef	Core	31.5	0.03224	2022-08-17	1	asus	2	PM	16:59:40	172.68	5.5672032	2022-08-17	1	asus	2	PM	16:59:40	510.006	16.44259344	2.953474635	337.326	10.87539024	good			
CSUD014_31.5	Sudbury Reef	Core	31.5	0.04880	2022-08-15	1	dell	1	AM	11:30:33	144.155	7.034764	2022-08-15	1	dell	1	AM	11:30:33	417.407	20.3694616	2.895542992	273.252	13.3346976	good			
CSUD018_31.5	Sudbury Reef	Core	31.5	0.03060	2022-08-17	1	dell	1	AM	10:05:19	148.003	4.5288918	2022-08-17	1	dell	1	AM	10:05:19	362.724	11.0993544	2.45078816	214.721	6.5704626	good	constant 'hand encouragement' needed		
CSUD026_31.5	Sudbury Reef	Core	31.5	0.03081	2022-08-16	4	asus	2	AM	11:57:30	242.989	7.48649109	2022-08-16	4	asus	2	AM	11:57:30	536.812	16.53917772	2.209202886	293.823	9.05268663	good			
CSUD074_31.5	Sudbury Reef	Core	31.5	0.04710	2022-08-14	3	dell	1	AM	13:15:06	156.912	7.3905552	2022-08-12	3	dell	1	AM	13:15:06	458.928	21.6155088	2.924747629	302.016	14.2249536	good			
CSUD079_31.5	Sudbury Reef	Core	31.5	0.04540	2022-08-17	1	asus	2	AM	10:21:59	209.041	9.4904614	2022-08-17	1	asus	2	AM	10:21:59	277.243	12.5868322	1.326261355	68.202	3.0963708	good	had to use slope from AquaResp; cycle_1 data file was missing		
CSUD085_31.5	Sudbury Reef	Core	31.5	0.03672	2022-08-16	4	dell	1	AM	11:39:23	183.82	6.7498704	2022-08-16	4	dell	1	AM	11:39:23	346.043	12.70669896	1.882510064	162.223	5.95682856	good			
CTON060_31.5	Tongue Reef	Core	31.5	0.04907	2022-08-16	2	dell	1	PM	16:50:47	177.99	8.7339693	2022-08-16	2	dell	1	PM	16:50:47	310.869	15.25434183	1.746553177	132.879	6.52037253	good	used third slope		
