FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	DRY_WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING_ENDTIME	RESTING_RUNTIME	RESTING	RESTING_MgO2/hr	RESTING_RESPR	RESTING_MgO2/hr_RESPR	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	MAX_RESPR	MAX_MgO2/hr_RESPR	FAS	NAS	MgO2/hr_Net	steepest_slope	Swim performance	Notes
CTON068_31.5	Tongue Reef	Core	31.5	0.04077	0.03103	17/08/2022	3	dell	1	AM	11:05:35	15:26:20	4:20:45	178.054	7.25926158	235.42	7.3	17/08/2022	3	dell	1	AM	11:05:35	295.473	9.16852719	412.3632	12.79563	1.752826027	176.9432	5.49563	1	good	
CTON069_27	Tongue Reef	Core	27	0.03792	0.02906	14/06/2022	4	asus	2	AM	10:57:00	14:04:01	3:07:01	177.451	6.72894192	267.81	7.78	1/07/2022	3	asus	2	PM	15:01	297.218	8.63715508	406.1807	11.80361	1.517173522	138.3707	4.02361	1	good	updated; original max. (29/06/2022) was 208.617; NAS <2
CTON069_28.5	Tongue Reef	Core	28.5	0.03792	0.02906	19/07/2022	4	asus	2	AM	11:01:00	14:33:36	3:32:36	145.772	5.52767424	187.99	5.46	19/07/2022	4	asus	2	AM	11:01	395.688	11.49869328	606.5529	17.62643	3.228283883	418.5629	12.16643	1	good	
CTON069_30	Tongue Reef	Core	30	0.03792	0.02906	1/08/2022	2	dell	1	AM	10:42:00	15:16:38	4:34:38	141.41	5.3622672	182.45	5.3	1/08/2022	2	dell	1	AM	10:42	323.081	9.38873386	438.2835274	12.7712914	2.409677623	255.8335274	7.4712914	3	good	value of third slope very close to value of first slope
CTON069_31.5	Tongue Reef	Core	31.5	0.03792	0.02906	14/08/2022	1	asus	2	AM	12:27:11	18:27:53	6:00:42	158.094	5.99492448	205.86	5.98	14/08/2022	1	asus	2	AM	12:27:11	353.263	10.26582278	525.985	15.28512	2.556040134	320.125	9.30512	3	good	third slope used
CTON110_27	Tongue Reef	Core	27	0.0469	0.03901	14/06/2022	3	asus	2	PM	15:32:00	19:44:25	4:12:25	166.613	7.8141497	186.32	7.27	28/06/2022	2	dell	1	AM	12:44	425.9607495	16.61672884	505.366	19.71433	2.711737276	319.046	12.44433	1	good	needed constant 'hand encouragement'; second attempt at swimming
CTON110_28.5	Tongue Reef	Core	28.5	0.0469	0.03901	17/07/2022	2	dell	1	PM	16:29:00	21:15:42	4:46:42	147.954	6.9390426	172.89	6.74	17/07/2022	2	dell	1	PM	16:29	456.009	17.78891109	612.2526	23.88397	3.543615727	439.3626	17.14397	1	good	
CTON110_30	Tongue Reef	Core	30	0.0469	0.03901	30/07/2022	3	dell	1	PM	15:16:00	19:36:26	4:20:26	140.452	6.5871988	161.86	6.31	2/08/2022	3	dell	1	PM	15:16	419.681	16.37175581	391.9708869	15.332525	2.429877179	230.1108869	9.022525	1	good	
CTON110_31.5	Tongue Reef	Core	31.5	0.0469	0.03901	17/08/2022	4	asus	2	AM	12:00:51	15:30:15	3:29:24	169.528	7.9508632	197.7	7.71	18/08/2022	3	asus	2	AM	12:44:24	376.678	14.69420878	513.8727	20.04618	2.600023346	316.1727	12.33618	1	good	
CVLA045_27	Vlassof Cay	Core	27	0.04482	0.03686	14/06/2022	3	dell	1	AM	10:01:00	13:52:04	3:51:04	154.3349	6.917290218	156.24	5.76	28/06/2022	3	asus	2	PM	16:03	522.5643955	19.26172362	658.4479	24.27039	4.213609375	502.2079	18.51039	1	good  	Max was taken from third cycle
CVLA045_28.5	Vlassof Cay	Core	28.5	0.04482	0.03686	17/07/2022	2	asus	2	AM	11:06:00	15:24:51	4:18:51	102.727	4.60422414	117.75	4.34	17/07/2022	2	asus	2	AM	11:06	361.318	13.31818148	467.5649	17.23444	3.971069124	349.8149	12.89444	1	good	
CVLA045_30	Vlassof Cay	Core	30	0.04482	0.03686	1/08/2022	4	asus	2	AM	11:57:00	15:34:08	3:37:08	207.649	9.30682818	243.2	8.96	1/08/2022	4	asus	2	AM	11:57	447.24	16.4852664	601.98623	22.24464406	2.482661167	358.78623	13.28464406	1	good	
CVLA045_31.5	Vlassof Cay	Core	31.5	0.04482	0.03686	16/08/2022	2	asus	2	PM	17:08:58	21:26:05	4:17:07	193.698	8.68154436	231.59	8.54	16/08/2022	2	asus	2	PM	17:08:58	425.91	15.6990426	613.9039	22.6285	2.64970726	382.3139	14.0885	2	good	
CVLA046_27	Vlassof Cay	Core	27	0.02875	0.02361	16/06/2022	4	dell	1	PM	14:43:55	19:01:09	4:17:14	160.817	4.62348875	191.61	4.52	27/06/2022	2	dell	1	AM	13:08	366.7627	8.659267347	516.0955	12.18501	2.695798673	324.4855	7.66501	1	good	
CVLA046_28.5	Vlassof Cay	Core	28.5	0.02875	0.02361	18/07/2022	1	asus	2	AM	10:00:00	14:50:18	4:50:18	181.893	5.22942375	213.42	5.04	18/07/2022	1	asus	2	AM	10:00	399.787	9.43897107	513.8258	12.13143	2.407029762	300.4058	7.09143	1	good	
CVLA046_30	Vlassof Cay	Core	30	0.02875	0.02361	31/07/2022	2	dell	1	AM	10:41:00	15:15:12	4:34:12	196.33	5.6444875	234.06	5.53	31/07/2022	2	dell	1	AM	10:41	473.37	11.1762657	652.9203915	15.4575345	2.795214195	418.8603915	9.9275345	1	good	
CVLA046_31.5	Vlassof Cay	Core	31.5	0.02875	0.02361	14/08/2022	4	asus	2	AM	14:01:43	18:27:53	4:26:10	247.088	7.10378	299.58	7.07	14/08/2022	4	asus	2	AM	14:01:43	456.991	10.78955751	591.1139	13.9562	1.974002829	291.5339	6.8862	2	good	
CVLA047_27	Vlassof Cay	Core	27	0.0318	0.02566	15/06/2022	1	asus	2	PM	16:06:00	19:26:31	3:20:31	204.144	6.4917792	246.02	6.31	27/06/2022	1	asus	2	AM	10:21	463.6512981	11.89729231	645.8766	16.657319	2.639828685	399.8566	10.347319	1	good	double check weight
CVLA047_28.5	Vlassof Cay	Core	28.5	0.0318	0.02566	17/07/2022	1	asus	2	PM	16:18:00	21:17:29	4:59:29	162.327	5.1619986	195.94	5.03	17/07/2022	1	asus	2	PM	16:18	390.13	10.0107358	546.6715	14.02759	2.788785288	350.7315	8.99759	1	good	
